"id","first_name","last_name","known_name","squad","total_points","avg_points","last_3_avg","last_5_avg","high_score","low_score","last_match_points","owned_by"
"55817","Diego","Valeri",,"POR","220","7.33","4","6.2","21","1","1","12.29"
"240899","Florian","Valot",,"NY","8","4","4","5","7","1",,"0.02"
"56328","Maikel","van der Werff",,"CIN","35","3.89","7","5.2","12","1","12","0.54"
"40798","Gregory","van der Wiel",,"TOR","0","0","1.33","2.4","0","0",,"0"
"201053","Jeisson","Vargas",,"MTL","0","0","1","1","0","0",,"0.05"
"247675","Peter-Lee","Vassell",,"LAFC","10","2.5","2.67","2.5","4","1",,"0.05"
"218313","Brandon","Vazquez",,"ATL","32","3.56","3","3.6","8","1","6","0.3"
"427221","Julian","Vazquez",,"RSL","0","0","0","0","0","0",,"1.05"
"55024","Daniel","Vega",,"SJ","125","4.03","4","4.6","14","-1","4","0.85"
"38401","Carlos","Vela",,"LAFC","328","11.71","9","10.6","22","3","8","7.94"
"186742","Lucas","Venuto",,"VAN","55","2.5","2","1.6","8","1",,"0.02"
"208424","Matias","Vera",,"HOU","101","3.61","4","3.4","7","0","5","0.16"
"45092","Jorge","Villafa?a",,"POR","95","4.75","4","5","18","0",,"1.91"
"122828","Hector","Villalba",,"ATL","58","3.41","2.33","2","13","1","4","0.15"
"224823","Sam","Vines",,"COL","65","2.71","3.67","4.2","8","0","1","0.22"
"82521","Juninho","Vitor Junior",,"LA","2","1","2","2","1","1",,"0.09"
"234585","Justin","Vom Steeg",,"LA","0","0","0","0","0","0",,"0.46"
"428338","Kai","Wagner",,"PHI","131","4.85","5","5.4","11","0","3","0.32"
"60153","Rodney","Wallace",,"SKC","1","1","2.67","1.8","1","1",,"1.56"
"249958","Wan Kuzain","Wan Kamal","Kuzain","SKC","0","0","1","3.2","0","0",,"0.02"
"474162","Akeem","Ward",,"DC","1","1","1","1","1","1",,"0.01"
"193906","Kendall","Waston",,"CIN","81","3.38","6","4.6","14","1","9","0.51"
"151951","Emery","Welshman",,"CIN","0","0","0","0","0","0",,"0.02"
"37975","Quentin","Westberg",,"TOR","106","4.08","5","4.2","9","2","4","0.41"
"443604","Brian","White",,"NY","89","4.94","3.33","5","8","1",,"0.39"
"226917","Gordon","Wild",,"DC","0","0","0","0","0","0",,"0.05"
"474156","JJ","Williams",,"CLB","0","0","0","0","0","0",,"0"
"423069","JJ","Williams",,"CLB","10","1.43","2","1.6","2","1",,"0.32"
"94479","Josh","Williams",,"CLB","65","4.64","6","5","15","2",,"0.11"
"186262","Romario","Williams",,"CLB","16","1.78","1.33","1.2","6","1",,"0.16"
"234420","Eryk","Williamson",,"POR","9","1.5","1.67","1.6","3","1",,"0.21"
"95309","Joe","Willis",,"HOU","101","3.88","5","4.2","10","0","3","0.53"
"60490","Danny","Wilson",,"COL","60","3.16","2.33","3.2","8","1",,"0.08"
"198532","Henry","Wingo",,"SEA","10","1.67","2.33","1.8","5","1",,"0.07"
"41647","Chris","Wondolowski",,"SJ","136","4.53","3","6.8","23","-1","-1","1.36"
"112973","Andrew","Wooten",,"PHI","9","1.8","2.33","1.8","5","1",,"0.03"
"180233","Brian","Wright",,"NE","2","1","1","1","1","1",,"0.13"
"18770","Bradley","Wright-Phillips",,"NY","59","2.68","3.67","3.4","8","0","5","0.73"
"210151","Deklan","Wynne",,"COL","29","2.64","2","3","8","1",,"0.02"
"436107","Griffin","Yow",,"DC","2","2","2","2","2","2",,"1.29"
"245628","Jackson","Yueill",,"SJ","143","4.93","6.33","6.2","11","1","2","0.21"
"105713","Wilfried","Zahibo",,"NE","52","2.48","3.33","4","9","-1","5","0.05"
"196824","Renzo","Zambrano",,"POR","31","3.44","2","3.2","7","-2",,"1.68"
"149359","Gyasi","Zardes",,"CLB","141","5.42","5.67","6.4","13","2","7","0.47"
"151949","Eriq","Zavaleta",,"TOR","41","2.56","1","2.2","9","-2",,"0.12"
"158870","Gedion","Zelalem",,"SKC","16","1.78","3.33","2.6","4","0",,"0.08"
"98918","Rodolfo","Zelaya",,"LAFC","9","2.25","2.67","2.25","6","1",,"0.12"
"213875","Adrian","Zendejas",,"SKC","5","5","1.67","1","5","5",,"0.12"
"18529","Reto","Ziegler",,"DAL","160","5.33","5.67","6.6","16","0","4","2.54"
"151933","Walker","Zimmerman",,"LAFC","119","5.17","3.33","2.2","12","-2","4","1.49"
"152268","Kyle","Zobeck",,"DAL","0","0","0","0","0","0",,"0.91"
"243943","Ethan","Zubak",,"LA","3","1","1","1","1","1",,"0.08"
"60210","Graham","Zusi",,"SKC","103","4.12","1.67","4.2","8","0","1","1.07"
