"id","first_name","known_name","last_name","Round","price","match_id","match_score","squad","Home Team","position","Minutes","Goals","Assists","Clean Sheet","Saves","Penalties Earned","Penalties Saved","Penalties Missed","Goals Conceded","Yellow Cards","Red Cards","Own Goals","Own Goal Assists","Shots","Was Fouled","Passes","Passes Completed","Crosses","Key Passes","Big Chances","Clearances","Blocks","Interceptions","Tackles","Balls Recovered","Errors Leading to a Goal"
"244927","Lalas",,"Abubakar","17","5600000","1039940","8","COL","True","2","90","0","0","1","0","0","0","0","0","0","0","0","0","1","0","24","22","0","0","0","7","0","0","3","2","0"
"244927","Lalas",,"Abubakar","18","6100000","1039983","2","COL","True","2","90","0","0","0","0","0","0","0","2","1","0","0","0","1","0","38","36","0","1","0","6","1","2","2","5","0"
"244927","Lalas",,"Abubakar","11","5700000","1039995","3","COL","True","2","90","0","0","0","0","0","0","0","3","0","0","0","0","0","0","36","24","0","0","0","4","0","1","0","8","0"
"244927","Lalas",,"Abubakar","19","6200000","1040022","2","COL","False","2","90","0","0","0","0","0","0","0","2","0","0","0","0","0","0","21","16","0","0","0","4","1","3","2","4","0"
"244927","Lalas",,"Abubakar","12","5800000","1040038","10","COL","False","2","90","0","0","1","0","0","0","0","0","0","0","0","0","0","0","20","16","0","0","0","11","2","1","0","4","0"
"244927","Lalas",,"Abubakar","15","6500000","1040041","8","COL","True","2","90","0","0","1","0","0","0","0","0","0","0","0","0","0","1","21","15","0","0","0","5","1","1","0","5","0"
"244927","Lalas",,"Abubakar","20","6000000","1040052","5","COL","True","2","90","0","0","0","0","0","0","0","2","0","0","0","0","1","0","10","7","0","0","0","18","1","1","0","3","0"
"244927","Lalas",,"Abubakar","21","6000000","1040074","0","COL","False","2","90","0","0","0","0","0","0","0","3","0","0","1","0","0","2","32","26","0","0","0","7","1","0","2","5","0"
"244927","Lalas",,"Abubakar","22","5600000","1040077","5","COL","True","2","90","0","0","0","0","0","0","0","3","1","0","0","0","0","0","36","34","0","0","0","5","3","0","4","8","0"
"244927","Lalas",,"Abubakar","14","6300000","1040104","6","COL","False","2","90","0","0","0","0","0","0","0","1","1","0","0","0","1","0","31","28","0","0","0","6","6","2","3","6","0"
"244927","Lalas",,"Abubakar","14","6300000","1040107","2","COL","True","2","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","38","31","0","0","0","3","1","3","1","2","0"
"244927","Lalas",,"Abubakar","23","5600000","1040136","2","COL","True","2","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","34","27","0","0","0","5","1","2","0","5","1"
"244927","Lalas",,"Abubakar","25","5500000","1040150","2","COL","False","2","90","0","0","0","0","0","0","0","2","1","0","0","0","3","1","30","27","0","0","0","5","1","4","1","2","0"
"244927","Lalas",,"Abubakar","24","5400000","1040166","4","COL","False","2","90","0","0","0","0","0","0","0","1","0","0","0","0","0","2","24","16","0","0","0","9","1","1","1","2","0"
"244927","Lalas",,"Abubakar","24","5400000","1040173","4","COL","False","2","90","0","0","0","0","0","0","0","2","0","0","0","0","0","0","26","19","0","0","0","9","0","1","0","8","0"
"126174","David",,"Accam","1","6000000","1037575","1","CLB","False","3","16","0","0","1","0","0","0","0","0","0","0","0","0","0","1","7","5","0","0","0","0","0","0","0","1","0"
"126174","David",,"Accam","3","5700000","1039879","1","CLB","False","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126174","David",,"Accam","4","5300000","1039886","15","CLB","False","3","90","2","1","1","0","0","0","0","0","0","0","0","0","3","1","25","17","0","1","0","2","0","0","2","4","0"
"126174","David",,"Accam","5","5800000","1039889","11","CLB","False","3","66","1","1","1","0","0","0","0","0","0","0","0","0","1","0","14","12","0","1","1","0","1","0","0","1","0"
"126174","David",,"Accam","16","6000000","1039924","1","CLB","True","3","16","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","1","0","0"
"126174","David",,"Accam","9","6800000","1039947","2","CLB","False","3","75","0","0","0","0","0","0","0","1","0","0","0","0","2","3","14","11","0","1","0","1","0","0","0","1","0"
"126174","David",,"Accam","10","6700000","1039959","1","CLB","False","3","16","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","1","1","0","0","1","0"
"126174","David",,"Accam","10","6700000","1039972","6","CLB","False","3","5","1","0","1","0","0","0","0","0","0","0","0","0","2","0","4","4","0","1","0","0","0","0","0","0","0"
"126174","David",,"Accam","11","6600000","1039997","1","CLB","True","3","25","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0"
"126174","David",,"Accam","19","5700000","1040021","1","CLB","False","3","27","0","0","0","0","0","0","0","1","0","0","0","0","0","2","6","5","0","0","0","0","0","0","0","2","0"
"126174","David",,"Accam","12","6300000","1040026","2","CLB","False","3","87","0","0","0","0","0","0","0","1","0","0","0","0","1","1","28","23","0","1","0","0","0","0","1","3","0"
"126174","David",,"Accam","20","5200000","1040036","1","CLB","False","3","54","0","0","0","0","0","0","0","1","0","0","0","0","1","0","9","7","0","2","0","0","0","0","1","1","0"
"126174","David",,"Accam","20","5200000","1040053","7","CLB","True","3","74","1","0","0","0","0","0","0","1","0","0","0","0","2","1","10","8","0","0","0","1","0","0","1","2","0"
"126174","David",,"Accam","21","5400000","1040071","1","CLB","False","3","45","0","0","0","0","0","0","0","1","0","0","0","0","1","0","4","4","0","1","0","1","0","1","0","1","0"
"126174","David",,"Accam","22","5300000","1040085","0","CLB","False","3","28","0","0","1","0","0","0","0","0","1","0","0","0","1","1","7","4","0","0","0","0","0","1","1","3","0"
"126174","David",,"Accam","13","5900000","1040092","2","CLB","False","3","70","0","0","0","0","0","0","0","2","0","0","0","0","2","1","17","13","0","0","0","0","0","0","0","1","0"
"126174","David",,"Accam","14","5500000","1040108","6","CLB","True","3","90","0","1","0","0","0","0","0","2","0","0","0","0","1","2","13","8","0","2","1","0","0","1","2","5","0"
"126174","David",,"Accam","6","6300000","1040124","2","CLB","False","3","68","0","0","0","0","0","0","0","1","0","0","0","0","2","0","12","7","0","0","0","0","0","0","1","2","0"
"126174","David",,"Accam","25","4700000","1040142","3","CLB","False","3","90","0","0","0","0","0","0","0","1","0","0","0","0","3","1","21","15","0","0","0","1","0","0","1","9","0"
"126174","David",,"Accam","23","4900000","1040152","1","CLB","True","3","19","0","0","1","0","0","0","0","0","0","0","0","0","1","1","3","1","0","0","0","0","0","0","1","1","0"
"126174","David",,"Accam","25","4700000","1040155","1","CLB","False","3","23","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","4","0","1","0","0","0","0","1","3","0"
"126174","David",,"Accam","24","4500000","1040172","6","CLB","True","3","10","1","0","0","0","0","0","0","1","0","0","0","0","1","0","3","3","0","1","0","0","0","0","0","2","0"
"193611","Bryan",,"Acosta","1","7000000","1037580","3","DAL","True","3","90","0","0","0","0","0","0","0","1","0","0","0","0","3","1","64","55","0","1","0","1","0","2","1","4","0"
"193611","Bryan",,"Acosta","2","6900000","1039868","10","DAL","True","3","90","1","0","1","0","0","0","0","0","0","0","0","0","3","1","66","60","0","2","0","0","0","1","4","4","0"
"193611","Bryan",,"Acosta","3","7400000","1039874","3","DAL","False","3","82","0","0","0","0","0","0","0","1","1","0","0","0","2","1","67","60","0","0","0","0","0","1","2","7","0"
"193611","Bryan",,"Acosta","5","7700000","1039894","2","DAL","False","3","37","0","0","0","0","0","0","0","1","0","0","0","0","0","0","68","64","0","0","0","0","0","1","0","4","0"
"193611","Bryan",,"Acosta","8","7400000","1039905","5","DAL","False","3","18","1","0","1","0","0","0","0","0","1","0","0","0","2","0","6","5","0","0","0","1","0","0","2","2","0"
"193611","Bryan",,"Acosta","9","7200000","1039936","3","DAL","True","3","64","0","0","1","0","0","0","0","0","0","0","0","0","2","1","25","19","0","0","0","0","0","1","3","3","0"
"193611","Bryan",,"Acosta","17","7000000","1039956","1","DAL","False","3","34","0","0","1","0","0","0","0","0","0","0","0","0","2","0","32","28","1","0","0","0","0","1","0","3","0"
"193611","Bryan",,"Acosta","10","7000000","1039964","5","DAL","False","3","90","0","0","0","0","0","0","0","2","0","0","0","0","2","1","96","84","1","1","0","0","0","1","4","5","0"
"193611","Bryan",,"Acosta","18","6600000","1039984","6","DAL","True","3","90","0","0","1","0","0","0","0","0","0","0","0","0","2","1","69","62","1","2","0","1","0","1","2","14","0"
"193611","Bryan",,"Acosta","11","7000000","1039998","7","DAL","True","3","90","0","0","0","0","0","0","0","3","0","0","0","0","0","0","72","57","6","3","1","1","0","2","2","8","0"
"193611","Bryan",,"Acosta","12","7400000","1040014","3","DAL","False","3","90","0","0","0","0","0","0","0","2","1","0","0","0","0","1","71","60","1","0","0","1","1","1","3","13","0"
"193611","Bryan",,"Acosta","19","6600000","1040018","3","DAL","False","3","90","0","0","0","0","0","0","0","1","1","0","0","0","5","1","56","44","0","0","0","2","0","3","0","10","0"
"193611","Bryan",,"Acosta","12","7400000","1040033","3","DAL","True","3","90","0","0","0","0","0","0","0","1","1","0","0","0","0","1","39","28","0","1","0","0","1","4","2","8","0"
"193611","Bryan",,"Acosta","20","6500000","1040054","3","DAL","False","3","90","0","0","1","0","0","0","0","0","1","0","0","0","2","0","45","36","0","2","0","1","1","0","2","6","0"
"193611","Bryan",,"Acosta","21","6400000","1040065","4","DAL","True","3","90","0","0","1","0","0","0","0","0","1","0","0","0","5","0","57","48","0","1","0","1","1","0","0","6","0"
"193611","Bryan",,"Acosta","13","7200000","1040096","7","DAL","False","3","90","0","0","0","0","0","0","0","2","0","0","0","0","2","0","70","68","5","4","0","0","0","1","0","6","0"
"193611","Bryan",,"Acosta","14","7300000","1040109","3","DAL","True","3","90","0","0","0","0","0","0","0","1","1","0","0","0","4","1","68","57","2","2","0","1","1","1","3","10","0"
"193611","Bryan",,"Acosta","25","6600000","1040146","6","DAL","True","3","90","0","0","0","0","0","0","0","1","0","0","0","0","3","1","84","79","0","1","0","1","0","0","6","9","0"
